Feature1,Feature2,Target,Category_A,Category_B,Category_C,Category_D
1.6987071940795497,-0.5193791619309046,0.9329364235414814,1,0,0,0
0.3387545908062598,0.8873796408149046,0.9329364235414814,0,1,0,0
0.9156628959079257,1.442679168214566,-1.0718844015157447,0,0,1,0
2.1741696705007603,-0.5563991304242153,0.9329364235414814,0,0,0,1
1.801913640366067,-1.2227585633038092,-1.0718844015157447,1,0,0,0
-1.0346988239427548,0.9243996093082153,0.9329364235414814,0,1,0,0
0.8870961450051594,0.36910008190855387,0.9329364235414814,0,0,1,0
-0.21116559441103966,-0.8155389098773906,-1.0718844015157447,0,0,0,1
-0.16316638872409842,1.2205593572547015,-1.0718844015157447,1,0,0,0
0.3491657023222136,-0.18619944549110765,0.9329364235414814,0,1,0,0
0.08338128676666758,-1.0376587208372552,0.9329364235414814,0,0,1,0
1.3898238151970739,-0.2232194139844184,-1.0718844015157447,0,0,0,1
0.6985919307418731,0.29506014492193233,0.9329364235414814,1,0,0,0
0.06107739161106568,1.2205593572547015,0.9329364235414814,0,1,0,0
0.382334276658381,-1.2967985002904308,0.9329364235414814,0,0,1,0
0.2724638881071159,-0.29725935097103995,0.9329364235414814,0,0,0,1
1.429514317698897,1.7388389161610522,0.9329364235414814,1,0,0,0
-0.2648111302191839,-1.6669981852235383,0.9329364235414814,0,1,0,0
0.25191682878811755,1.8128788531476738,-1.0718844015157447,0,0,1,0
-0.9118727589961135,-0.07513954001117536,-1.0718844015157447,0,0,0,1
-2.6058559387664864,1.5537390736944985,0.9329364235414814,1,0,0,0
0.5914833114216951,-0.8155389098773906,-1.0718844015157447,0,1,0,0
0.8016915163501975,0.7763197353349723,0.9329364235414814,0,0,1,0
-0.8002655918822994,1.3316192627346337,-1.0718844015157447,0,0,0,1
2.2029476672030257,-1.592958248236917,-1.0718844015157447,1,0,0,0
-1.5104075280327696,1.1094994517747692,0.9329364235414814,0,1,0,0
-0.014619660061362854,-0.4083192564509723,0.9329364235414814,0,0,1,0
-0.24688867409767684,1.479699136707877,0.9329364235414814,0,0,0,1
1.4681025905962817,0.5541999243751077,0.9329364235414814,1,0,0,0
1.4048654720203022,0.8503596723215938,0.9329364235414814,0,1,0,0
0.0942536221487605,1.5167191052011877,-1.0718844015157447,0,0,1,0
0.31682348084069484,-0.11215950850448612,0.9329364235414814,0,0,0,1
-0.9454653815280022,-0.5193791619309046,0.9329364235414814,1,0,0,0
-2.0353165980169283,-1.2967985002904308,0.9329364235414814,0,1,0,0
-0.40715236521818354,1.4056591997212553,-1.0718844015157447,0,0,1,0
0.09565111419378017,-1.3338184687837413,-1.0718844015157447,0,0,0,1
1.16648844341545,0.29506014492193233,0.9329364235414814,1,0,0,0
1.1386582917312036,-0.33427931946435074,0.9329364235414814,0,1,0,0
-0.44645309955418283,-0.6674590359041476,-1.0718844015157447,0,0,1,0
-0.36167480696980603,-1.6299782167302275,0.9329364235414814,0,0,0,1
-1.1057678782867184,-0.7044790043974584,0.9329364235414814,1,0,0,0
-1.476159077669663,1.3686392312279445,0.9329364235414814,0,1,0,0
-1.7615838779601594,1.590759042187809,-1.0718844015157447,0,0,1,0
1.884890493614316,-0.8525588783707014,-1.0718844015157447,0,0,0,1
-0.5684248649043017,0.25804017642862154,-1.0718844015157447,1,0,0,0
-0.49705389088274304,0.184000239442,0.9329364235414814,0,1,0,0
-1.3094198813610534,-0.001099603024553819,-1.0718844015157447,0,0,1,0
0.7149970027403038,-0.9636187838506337,-1.0718844015157447,0,0,0,1
-1.669478550386724,0.25804017642862154,-1.0718844015157447,1,0,0,0
-0.2723712297623837,-0.6304390674108369,-1.0718844015157447,0,1,0,0
-0.9531239925993795,0.7763197353349723,-1.0718844015157447,0,0,1,0
0.3255381949382836,-0.4083192564509723,-1.0718844015157447,0,0,0,1
-0.5695744879375254,-0.2602393824777292,0.9329364235414814,1,0,0,0
-1.2374653034337866,-1.3708384372770521,0.9329364235414814,0,1,0,0
-0.08834666938125525,0.9984395462948369,0.9329364235414814,0,0,1,0
0.3668478100713378,-0.18619944549110765,-1.0718844015157447,0,0,0,1
0.006079039008813988,-0.8525588783707014,-1.0718844015157447,1,0,0,0
0.24135165356647054,-1.592958248236917,0.9329364235414814,0,1,0,0
-0.6927344005892845,-0.001099603024553819,0.9329364235414814,0,0,1,0
-0.4219385164816673,1.6277790106811199,0.9329364235414814,0,0,0,1
-0.7307625103069337,0.14698027094868926,-1.0718844015157447,1,0,0,0
-0.41875972741873,-1.592958248236917,0.9329364235414814,0,1,0,0
-0.8710416720126738,-0.5563991304242153,-1.0718844015157447,0,0,1,0
-1.7815384409232156,-1.3708384372770521,0.9329364235414814,0,0,0,1
0.11666736075442508,-1.3338184687837413,-1.0718844015157447,1,0,0,0
-0.46086543665297525,-0.7044790043974584,0.9329364235414814,0,1,0,0
-1.6857319308655874,-0.03811957151786458,0.9329364235414814,0,0,1,0
